tweet,obama_score,romney_score
Romney AWOL as Gov. NYTimes: As Massachusetts Governor  Romney Was Often Away  http://t.co/HGgyKRq9,obama=+1,romney=-1
"RT @MikeEpps___: If Romney become president we all gone have to start reading the ""Terms &amp; Conditions"". We might fuck around &amp; b ...",obama=na,romney=-1
RT @ChuckNellis: Romney Rocks in Ohio! Momentum  we have it! #TCOT http://t.co/0qEATeJS,obama=na,romney=+1
@edwscott @AddInfoOrg Obama has more ties to that company than Romney,obama=-1,romney=0
'To Save America: Stopping Obama's Secular-Socialist...' by Newt Gingrich  http://t.co/FKPBWNkA #glennbeck #rushlimbaugh #books #tcot,obama=-1,romney=na
RT @KarlRove: Obama didn't give 716 billion to save Medicare. He looted #Medicare for that money for #ObamaCare! @JoeBiden got it backwa ...,obama=-1,romney=na
Fewer qualms for gun-rights groups over Romney now - San Francisco Chronicle http://t.co/l6CuqPWj,obama=na,romney=+1
RT @SierraBeckham: Being an opinionated black against Obama is a crime apparently,obama=+1,romney=na
Good read by @Joan_Vennochi on @MassGovernor failing to lead his own state while promoting Obama http://t.co/zlxjB2mp #mapoli,obama=+1,romney=-1
Must see video!...'Romney's Bain Selling Out American Workers to China': http://t.co/leUPCbCo via @youtube #Sensata,obama=na,romney=-1
RT @RT_com: Tobacco Lord: Romney made millions on selling smokes to 'number-one foe' http://t.co/7zUHJrvO,obama=na,romney=-1
Girls are selling pastries to raise money for Obama. This might be the way how these girls started the career in polit http://t.co/ue7xTrEV,obama=-1,romney=na
RT @keder: Seems like the Obama admin is more angry that Romney called them out re: Libya incompetence than they are about actual events ...,obama=-1,romney=0
RT @thatlittletyger: RT if you support gay marriage  Ignore if you support Romney.,obama=na,romney=-1
"RT @ChadOwenBrand: Teaching on LDS movement tonight. Could get interesting! ""Here's what they believe  but you should vote for Romney an ...",obama=na,romney=+1
RT @MrsVerCrouse: NBA star Greg Anthony backs Mitt Romney for Nevada http://t.co/vDlLakLt via @sharethis Awesome! Black ex #Obama voter  ...,obama=-1,romney=+1
RT @Arianna8927: So today at my mom's church they had John Bolton speak about how dangerous Obama is to Israel and they gave out Romney  ...,obama=-1,romney=0
RT @Path2Enlighten: Mitt Romney: Privatize the Profits  Socialize the Losses. #Sensata,obama=na,romney=-1
"RT @mtomasky: New blog post: Romney and those six ""studies"" backing up his tax plan. Right. http://t.co/VTC1KPIn via @thedailybeast",obama=na,romney=-1
RT @Metafrantic: RT @MikkoAlanne The day before the election  Romney's Bain-owned #Sensata will close as all jobs sent to China: http:// ...,obama=na,romney=-1
RT @SooperMexican: If you think Romney is responsible for a company he left 12 yrs ago  but Obama isn't for past 4 yrs of the Economy  y ...,obama=-1,romney=+1
RT @juliagulia614: Yes Obama  you inherited a budget too 4 yrs ago which you made WORSE! Sorry Oblamer...you're fired. #tcot,obama=-1,romney=na
"RT @robdelaney: Fun Fact for the 1% &amp; ""job creators."" The S&amp;P 500 is up NINETY-ONE percent since Obama took office. 91. RT",obama=-1,romney=na
Character - Obama for America TV Ad: http://t.co/aZpBrlkg via @youtube @obama2012 #ohdems @ohdems,obama=+1,romney=na
RT @BenLaBolt: Former Romney senior aide says Romney will say and do anything to close a deal:  http://t.co/0RNUBZgS,obama=na,romney=+1
RT @docrocktex26: OUCH. RT @j3283: Hmmmm: Romney Is Attacked by His Father's Longtime Aide http://t.co/aacniuun,obama=na,romney=-1
Obama Lies to Coal Miners in 27 States http://t.co/yY4HllVD via @youtube,obama=-1,romney=na
Pressure: Americans Expect Obama to Win Second Debate http://t.co/1fD9HES7 #BigTweet,obama=+1,romney=na
RT @amber_neckhole: Dear Obama  having Morgan Freeman narrate your commercial is cheating.,obama=-1,romney=na
Pres.Obama gave his wife a s/o in his speech in front of the world. Some of y'all girls can't even get yo bf to put you in his Twitter bio.,obama=+1,romney=na
Mitt romney ... Obama has my vote ... Four more years   im fired up &amp; ready to go ....,obama=+1,romney=-1
RT @FrankAceColwell: President Obama has 15 actors and musicians on his side. Mitt Romney has 80M Americans on his side.,obama=-1,romney=+1
Today at work I walked in on the middle of some Republican guy rant about how important it was that Romney win the election to my coworker.,obama=na,romney=+1
Bands will make her dance   stamps will make her twerk   If Romney becomes president   these hoes will have to work.,obama=na,romney=-1
Florida: Romney 51%  Obama 47% -,obama=-1,romney=+1
RT @iMonsterHooker: @matthewxfame Actually that is true. Romney has changed his word so many times  you can't even begin to say what's t ...,obama=na,romney=-1
RT @MICHAELDOLLAR: Romney; Learning from his father's failed bid for President because George told the Truth  Mitt became a Liar  Hypocr ...,obama=na,romney=-1
Dear Pres @BarackObama: You aren't getting Romney Vote &amp; I doubt you're getting Candy's. SPEAK TO THE PEOPLE! #Debates,obama=-1,romney=0
Obama's Gas Price Hypocrisy http://t.co/y75E5Zab via @sharethis        WHERE IS THE DAM MEDIA NOW....NO COMPLAINTS?,obama=-1,romney=na
@WeGotEd Romney FINALLY reveals his tax plan it's Unbelievable ....http://t.co/XQngyf4t,obama=na,romney=+1
"RT @RossRantsDotCom: ""Questions Arise Over Romney Baby Tossing""",obama=na,romney=-1
#Romney (+ 10840 points) beats #Obama so far  in 25trends Elections 2012 analyses  #debate #tcot #p2 #sensata http://t.co/OD3x0jAz,obama=-1,romney=+1
@chucktodd Well we won't get it with CCrowly co-opting a Town Hall debate into her helping Obama.Romney GOP et al ought 2 tell her fuck off.,obama=-1,romney=+1
@silvinhouzumaki get a F*ck Romney shirt...that way you can tell em how you really feel! order one at http://t.co/1lLsOqZU,obama=na,romney=-1
"It's said #Obama is going to come out ""feisty"" in this next #debate. Mrs. Obama might be allowing him a Snickers bar... but just this once.",obama=-1,romney=na
Liberals are much less likely to say Obama lost this debate  even if he does. See @jonathanchait item http://t.co/lZwwGTBy,obama=-1,romney=na
@BretBaier @charles_alvino .watch out  for candy...She is an Obama Woman and very Bias,obama=-1,romney=na
If you like Obama just because he's black you're ignorant and I hate you. #RomneyRyan2012,obama=-1,romney=+1
My sis said Romney deserve the bus driver uppercut,obama=na,romney=-1
Now  the only thing I DON'T agree with is Obama Care. Mainly for the same reasons I tweeted about dealing with Tuition.,obama=-1,romney=na
RT @kozeni_: It's funny how much Romney knows about Obama's money when we know next to nothing about his! #debate,obama=0,romney=-1
RT @QtipTheAbstract: Wow Obama is being VERY PRESIDENTIAL! He scored big time! Romney does not have the moxy for this job,obama=+1,romney=-1
"RT @SincerelyTumblr: ""I am just jealous  because Obama is smart and sexy and I am not."" -Mitt Romney.",obama=+1,romney=_1
RT @Space_Jams11: #Obama face lol http://t.co/I93XvNqo,obama=+1,romney=na
RT @Ratchet2English: RT for Obama  FAV for Romney!,obama=0,romney=+1
@SenJohnMcCain @MittRomney @BarackObama  Couldn't disagree more.  #POTUS dominated the #debate and #Romney.  I'm fired up to vote for #Obama,obama=+1,romney=-1
RT @carolannnolan: Romney fought for speaking time and he will #fightforjobs! Obama is repeating same rhetoric from 2008 and hasn't deli ...,obama=-1,romney=-1
RT @burniemaccc: How the fuck do guys actually think they can tell a women what to do with their uterus? Mitt Romney you don't know shit,obama=na,romney=-1
RT @DavidLimbaugh: Of course Mitt had 2 try 2 put his foot down sometimes or they would have walked all over him. Obama interrupted pro- ...,obama=na,romney=-1
RT @AlanZweibel: Mitt Romney = Snake Oil Salesman,obama=na,romney=-1
RT @iBusDriverHoes: People Only Like Obama thats the motto Romney P.O.L.O.,obama=+1,romney=0
Tumblr is all up on beating Romney into the ground. People were making gifs minutes after the live stream @_@,obama=na,romney=-1
"RT @thinkprogress: Romney in 2003 on coal: ""I will not create jobs that kill people"" http://t.co/JU82Vdir #debaterecap",obama=na,romney=-1
RT @RonnieRadke: Romney looks like George bush,obama=na,romney=-1
"Per #chrismatthews: Romney had ""lack of deference to the office"" of the president.  Somebody remind him that he's a president  not a king.",obama=na,romney=-1
RT @RedState: Candy Crowley Admits Romney was Right on Libya http://t.co/xdHHE1pH #RS #TCOT,obama=na,romney=+1
RT @JamieGator: CBS Poll: Romney Wins 65-34 on Economy;CNN Poll: Romney Wins 54-40 on Economy 49-46 on Health Care 51-44 on Taxes 59...  ...,obama=na,romney=+1
RT @_AlexSanchez: Romney 2  Obama 0 #debate,obama=0,romney=+1
This gal enjoyed seeing a real man cut that arrogant ass Obama down to size. He has been coddled for too long. I am tired of the lies,obama=-1,romney=na
RT @MayorChuka: @CNN: Check out our CNN Poll on debate winner: Obama 46%  Romney 39%. http://t.co/0lGGCGbp @AfricanInvestor,obama=+1,romney=-1
"RT @NicholsNYC: Pretty sure Romney said ""energy independence in 5 years"" tonight vs 4 years in first debate - did I hear right? Did he m ...",obama=na,romney=-1
"RT"" @CNBC http://t.co/xhRzZoU0 Survey Results: Who do you think won the debate? Obama: 56%  Romney:",obama=+1,romney=-1
RT @AntiJokeJamal: I bet Mitt Romney was the kid in class that reminded your teacher you had homework last night.,obama=na,romney=-1
#Obama2012 is trending. What you got Romney!?,obama=+1,romney=-1
On rewind  Obama walks toward Crowley for help ( translate intervention) on F &amp; F blows by Romney.  Pathetic!,obama=-1,romney=+1
RT @CharlieDaniels: Personally I thought Obama got backed into a corner last night and never answered the questions Romney asked him.,obama=-1,romney=+1
RT @blindperspectiv: Second presidential debate: Mitt Romney fails to launch a foreign policy attack on Barack Obama over Libya. http:// ...,obama=0,romney=-1
"RT @kingsleyyy: Romney: ""Kingsley... Kingsley... I need to respond to that."" Me: ""And I need you to sit the fuck down.""",obama=na,romney=-1
"RT @ladygaga: Did anybody else hear Romney's mic feedback after Obama said ""you wouldn't have taken such a sketchy deal  and neither sho ...",obama=0,romney=-1
RT @cpdutah: A dangerous email going around with the subj CNN Breaking News-Mitt Romney Almost President. If you get this delete it! htt ...,obama=na,romney=-1
Romney's Secret Blowout http://t.co/jO9xxk5r via @BreitbartNews,obama=-1,romney=0
"RT @BarackObama: POTUS: ""Last night  Gov. Romney took another stab at trying to sell us on his $5 trillion tax cut that favors the wealt ...",obama=na,romney=-1
RT @weeklystandard: Gallup: Romney 51  Obama 45: Gallup's week-long tracking poll of likely voters finds that Mitt Romney is leading...  ...,obama=0,romney=+1
RT @thedailybeast: Under pressure  Obama delivered while Romney sputtered http://t.co/NLzokhto,obama=+1,romney=-1
#ISupportObamaBecause Romney's Party looted Social Security to hide the tax cuts for the rich. Check Reagan &amp; Greenspan &amp; SocSec,obama=na,romney=-1
Stacey Dash weird ass supporting Romney huh,obama=0,romney=-1
RT @markos: Romney dodges immigration by talking about ... Obama's pension? http://t.co/PJX8Rp0J,obama=0,romney=-1
When mitt Romney says he went out and got binders full of woman to become part of his cabinet YET when researched it came *drum roll* A LIE,obama=na,romney=-1
Seriously  how can people support Romney? He has no plan  has no manners  and is just a complete liar. #debate,obama=na,romney=-1
RT @TheDailyEdge: #Romney only got excited about his #BindersFullofWomen because he thought he could get away with paying them 77c on th ...,obama=na,romney=-1
RT @JohnFugelsang: I respect that Gov Romney had binders full of women; most men just keep all that stuff on an external hard drive.,obama=na,romney=-1
RT @American1st: Mitt Romney moved his entire office to NY to help find a workers daughter. NO ONE KNOWS HOW DEEPLY MITT ROMNEY CARES AB ...,obama=na,romney=+1
RT @soonergrunt: That's So Romney #DepressingSitcoms,obama=na,romney=-1
"RT @joanwalsh: Tagg Romney wants to ""take a swing at"" Obama while Tommy Thompson's son would send him back to Kenya. Classy  http://t.co ...",obama=-1,romney=0
Mitt Romney disrespecting Obama on the floor of that debate was red meat for the racist base. A vote for Mitt is a vote for hate...,obama=0,romney=-1
"RT @KevinMaddenDC: ""Obama cedes the future to Romney"" - http://t.co/yi3xLxX6 #CantAfford4More",obama=-1,romney=+1
RT @DamonLindelof: If Obama called my dad a liar  I would punch my dad.,obama=+1,romney=na
Mitt Romney has a plan: a one-point plan for America. Give to the rich and keep the middle-class down. Don't put... http://t.co/yDh8zbtx,obama=na,romney=-1
Dudes back here talkin bout voting for Romney and whispering cuz they know I'm voting for Obama smh like I care,obama=+1,romney=0
RT @SoCalLynn: Dont be distracted by this #Binder crap..its another #bigbird so we dont analyze the fact that Obama LIED about Libya on  ...,obama=-1,romney=na
RT @RasmussenPoll: Swing State Tracking: #Romney 49%  #Obama 48%... http://t.co/uHfcTMEl,obama=-1,romney=+1
RT @loudobbsnews: Welfare and Dependency- Obama Hallmarks http://t.co/8erXRJpC,obama=-1,romney=na
....wait  Romney actually has a chance to become President...I'm moving to Canada.,obama=na,romney=-1
#Romney looking strong in Ohio. #Landslide if Ohio goes for #Romney.,obama=na,romney=-1
Facts checker! RT @_IKENNA_: The 580 000 women Romney says lost jobs under Obama's term was a lie. It was actually about 83 000.,obama=0,romney=-1
Are you going to vote for Romney? Come smell the truth! http://t.co/2NOmCQ8a,obama=na,romney=-1
Let's be fair to Obama. That electoral map showing Romney ahead is wrong. It only shows 50 states -- not 57.,obama=+1,romney=0
RT @NBCPolitics: Polls:Obama holds his lead in Iowa  Wisconsin http://t.co/9rb9G5co,obama=+1,romney=na
Did Romney say during the #debates he wants level playing field  China 2 stp their currency manipulating? Fact: every1 manipulating!,obama=na,romney=-1
Romney told 31 lies in the 41 minutes he was talking during the 2nd debate.,obama=na,romney=-1
RT @DonStoryJr: Mitt Romney did an excellent job tonight. #RomneyRyan2012,obama=na,romney=+1
RT @preciousliberty: Deficit-to-GDP ratios: Reagan 4.2%  Bush Sr. 4.2%  Clinton 0.5%  Bush Jr. 2.7%  Obama 8.9,obama=+1,romney=na
RT @CaptivatingNews: Romney Fades  Taking GOP Senate Hopes With Hi,obama=na,romney=-1
RT @iResistAll: Lockheed Accepts Cash Bribe From Obama Not To Announce Layoffs Until After Electio,obama=-1,romney=na
"RT @AriBerman: ""My name is Richard Hayes and I pick up Mitt Romney's trash",obama=na,romney=-1
#Obama is the First President to apply for college aid as a foreign student and then deny he was a foreigner.,obama=-1,romney=na
RT @debsaun1: Volleyball Mom Knows Better Than Obam,obama=-1,romney=na
RT @SwaggOutDanny: VOTE OBAMA. F*CK ROMNEY. VOTE OBAMA. F*CK ROMNEY. VOTE OBAMA. F*CK ROMNEY. VOTE OBAMA. F*CK ROMNEY. &gt;&gt; RETWEET  ...,obama=+1,romney=-1
@Ukraine07 Romney is an idiot mate,obama=na,romney=-1
..@Reply Barrack Obama likes potatoes with his Golden Retriever steaks,obama=-1,romney=na
@PHIJohnny31 the closer to the election we get  the more romney is making a fool of himself nationwide,obama=na,romney=-1
Obama needs to be like: 2 TERMMMMMZZZZ!,obama=+1,romney=na
RT @EcheMadubuike: If Mitt Romney Wins The Election  I Volunteer As A Tribute For The Hunger Games. #Debate2012 #PresidentialDebate2012  ...,obama=na,romney=-1
@laxgoalie1 Obama looks like a monkey  no wonder I want him to win....,obama=-1,romney=na
@KhaledHolmes Romney 1 obama goose egg,obama=-1,romney=+1
"RT ""@DragonflyJonez: I just made a list for why Im voting for Obama and not voting for Romney",obama=+1,romney=-1
RT @glorybieber: Vote Obama because I toured the White House and he got that portrait of Justin on the w a l l,obama=+1,romney=na
RT @FreeWoodPost: After Oil Is Discovered Under Sesame Street  Mitt Romney Calls For As Much Funding As Neede,obama=na,romney=-1
Will Team Obama prefer to talk about Libya or Fast and Furious tomorrow to get the news covererage off his loss tonight? #debate2012,obama=-1,romney=na
RT @iSpeakComedy: President Obama and Mitt Romney did alot of talking but nobody spoke about the problem of a bag of chips being 80% air ...,obama=-1,romney=-1
RT @OldHead1: President Obama was President tonight. Romney was who he was and is and was and might be! He ALWAYS is and will be a DRAFT ...,obama=-1,romney=+1
@DanielLavanant my logic is wayyy beyond yours in terms of political  good try though. You're rich hence why you favor Romney basically.,obama=na,romney=-1
I can't listen to or read anything Obama says  he's so ignorant it's unnerving,obama=-1,romney=na
Just got the NRA email announcing its endorsement of the Romney/Ryan ticket. Totally shocked. No idea what to make of this development.,obama=na,romney=-1
RT @jeffdunham: WALTER: As for Obama in the debate.. Seriously  I haven't seen a brother lose his smooth that fast since Cuba Gooding Jr ...,obama=-1,romney=na
Obama Falsely Claims He Has a Plan to Cut $4 Trillion from the Defici,obama=-1,romney=na
About to stop listening to pandora until the erection is over because of all the Obama ads.. #getouttahere,obama=-1,romney=na
[JAWA]  Teacher Berates Student For Wearing A Romney Shir,obama=na,romney=-1
"@wolfblitzer @AliVelshi @CNNSitRoom The IMPARTIAL experts say that ""the numbers don't add up"" &amp; there are some Obama supporters @BLS.",obama=+1,romney=na
RT @_fuckMittRomney: Nicki minaj is not voting for Romney . Her ass isnt even American   she CANT vote lmao stop taking songs literally,obama=na,romney=-1
"RT @_mytwitrname: ""Y'ALL PLEASE REMEMBER MITT ROMNEY SAID he wanted to get rid of MARTIN LUTHER KING JR DAY because it is ""irrelevant an ...",obama=na,romney=-1
Obama was debating  at least trying to. Highlighting points of his plan. But all that broke down when Mittens kept taking jabs.,obama=-1,romney=+1
"RT @BradMD: ""@tonyzump: im sorry people but OBAMA'S SOCIALIST FAIRY TALE has no happy ending""",obama=-1,romney=na
Man's name is Mitt!! Lma,obama=na,romney=+1
"RT @RayBeckerman: RT @sanacardi: BUSTED--&gt; Lying is hereditary: ""#Romney Family was In On An $8.5B Ponzi Scheme in 2009",obama=na,romney=-1
RT @Mattison: RT.@TurboKitty: Romney distorts truth on green jobs,obama=na,romney=-1
@ebrew79 I have NEVER liked Obama's high road approach. There were time during the primary that he (cont,obama=-1,romney=na
THE NEW YORKER EASTWOODING: Cover features Mitt Romney debating an empty chair instead of President Obama #tco,obama=-1,romney=+1
@BabygirlSoMajor lmaooooo hell nah #Cowboys #Obama,obama=-1,romney=na
RT @252NC_MADE: Fuck all of you who are going for mitt Romney y'all really aren't shit!,obama=na,romney=-1
Obama...BUT it goes MUCH  MUCH DEEPER than D'Souza's analysis @DineshDSouza. I believe Obama serves interests of The New World Order crowd.,obama=+1,romney=na
RT @DGTAYWITDAHANDS: If Mitt Romney Become President We Gone Have Too Start Reading The 'Terms &amp; Conditions ' cus we might fuck Arou ...,obama=na,romney=-1
I wonder if ppl knw tht if ur an old person w this Obama care ur basically going to die since doctors will b REQUIRED to take younger,obama=-1,romney=na
#RomneyCampaignIn3Words  Romney For President!!!,obama=na,romney=+1
That's fricken funny. RT @zachbraff: Romney farts on a young girl,obama=na,romney=-1
RT @BBCNewsUS: Sesame Street producers urge #Obama campaign to stop using #BigBird in advert attacking #Romney's #PBS stanc,obama=-1,romney=+1
RT @IamTheWindowMan: I was a Marine...I will always BE a MARINE. I raised my hand 2 defend &amp; protect this NATION- MR. OBAMA  here's  ...,obama=+1,romney=na
Seeking meaningful volunteerism in #Cleveland  the weekend prior to election. Need contact person not a website. #Obama2012 #Women2012,obama=+1,romney=na
Damn every bumber sticker I see says Romney...,obama=na,romney=-1
@KeeToHerHeart ive been sayin F*ck Romney Forever! lol...now my t-shirt says it ..i got it a,obama=na,romney=_1
"What is ""Mitt Romney"" hiding in his Tax Returns? Did he break the law? :",obama=na,romney=-1
"Lmfao ""Obama Bitch""",obama=-1,romney=na
"RT @TheDailyEdge: Mitt Romney declares war on Women for #BreastCancerAwarenessMonth: ""I don't think the government should be funding",obama=na,romney=-1
"RT @Mr2Ratchet: If Romney becomes President  we are ALL going have to start reading the ""Terms &amp; Conditions"". We might fuck around & ...",obama=na,romney=-1
"It is so fucking funny that the most popular tumblr post of all time is ""Mitt Romney sucks pass it on"" #itstrue #soproud",obama=na,romney=-1
"Hilarious that Team Obama is already spinning Biden's debate loss by saying ""Ryan lied."" Who believes those frauds anymore anyways?",obama=-1,romney=na
RT @4mbrie: i bet mitt romney wears crocs,obama=na,romney=-1
RT @stephen_taylor: Finally! RT @mattklewis Lindsay Lohan switches horses  endorses Mitt Romney for presiden,obama=na,romney=+1
#obama Only spread my legs such as this  can you f**ck me?,obama=-1,romney=na
Diggapedia: Why am I not voting for Mitt Romney and neither sh..,obama=na,romney=-1
RT @byronNME: Romney is getting a tax break for sending Freeport IL based #Sensata to China. Chinese flag flying over the company now. W ...,obama=na,romney=-1
"RT @ayeitstaylor_: Mitt Romney said ""borrow money from your parents for college"" bitch i can't even get $5 from my mom  what makes you t ...",obama=na,romney=-1
RT @RichardGrenell: Former Sun Micro CEO for Romney&gt;@scottmcnealy: on @BloombergTV. Need economic freedom to insure personal freedom  ...,obama=na,romney=+1
Hawaii Prep School Gave Obama Window To Succes,obama=+1,romney=na
RT @StroAmazin: Favorite for Romney. Retweet For Obama. Let's see who wins this shit.,obama=0,romney=+1
Daily Kos: Open thread for night owls: @MittRomney and his accountant(s) don't talk? Suuuuurrrrrr,obama=na,romney=-1
RT @CletisStump: Napoleon met defeat at Waterloo. Let's make sure #Romney meets his at #Sensata ... The Out Sourcer in chief MUST be exp ...,obama=na,romney=-1
RT @thelifeofjosh_: I don't like mitt romney,obama=na,romney=-1
RT @NeilJEdmondson: Obama's mother died on food stamps  his brother lives on $1 a day. Romney donated $2.3 million to charity just last  ...,obama=-1,romney=na
"RT @seanhannity: Just saw @BretBaier ask a voter why  support @MittRomney  he said ""Romney really wants the job."" true! Obama doesn't ev ...",obama=-1,romney=+1
Not cowards - careful &amp; detailed. RT @BoneKnightmare: Leaked Debate Agreement Shows Obama &amp; Romney Sniveling Coward,obama=0,romney=-1
RT @Sam_Pem: #WaysToGetShot wear a Mitt Romney shirt in the ghetto,obama=na,romney=+1
"Todd Akin: ""If Mitt thinks I'm too crazy to be a Senator  how the hell is Paul Ryan ready to be VP?"" #WarOnWomen",obama=na,romney=-1
RT @woodhouseb: RT @greenhousenyt: WashPo FactChecker Gives 4 Pinocchios to #Romney's Claim That His #Jobs Plan Will Create 12M Jobs htt ...,obama=na,romney=-1
RT @leclemot: President Clinton Explains How Mitt Romney Is Planning Huge Tax Breaks For Millionaire,obama=na,romney=-1
@DAbitty @BeachPeanuts @EricBoehlert @mmfa Right. In the first debate  Romney totally changed EVERY position anyone could make sense of.LIES,obama=na,romney=-1
Romney knows much more about Oil than Obama  Snake Oil; he's been selling it to us for the whole campaign! #debate #debates,obama=0,romney=-1
RT @polishcunt: obama has ran this country for 4 years and it's more of a shit hole than it has ever been so i mean lets open our eyes here,obama=-1,romney=na
RT @ChrisRBarron: Toughest decision of my political life.  In the end the stakes are too high.  Why this Libertarian will Vote for Romne ...,obama=na,romney=-1
Please write @CNNPolitics and demand an apology from the moderator. She helped Obama cover a lie. He did not call Benghazi an act of terror!,obama=-1,romney=na
RT @dcexaminer: Romney was right on the Libya exchang,obama=na,romney=+1
"RT @georgevhulme: RT @ReformedBroker: Every time Obama says the phrase ""fair share"" a Libertarian angel has his wings ripped off.",obama=-1,romney=na
@RomneyResponse Not only did Obama lie about mammograms by Plnd Parenthood  but his administration CUT mammogram,obama=-1,romney=na
RT @FollowMeOBAMA: VOTE OBAMA. FUCK ROMNEY. VOTE OBAMA. FUCK ROMNEY. &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt ...,obama=+1,romney=-1
RT @BarackObama: President Obama knows that when women make less than men for the same work  it threatens the economic security of entir ...,obama=+1,romney=na
RT @BillBateman1: It's Over - :) Honey Boo Boo Endorses Obam,obama=+1,romney=na
RT @bobbryor: Mitt Romney's gonna raise the prices on band merch pass it on.,obama=na,romney=-1
Mitt- Im will give you a job young man! I am going to give you women hours off early to go home and cook!! LOL Panderer in Chief! @edshow,obama=na,romney=+1
RT @Political_Bill: Romney's idea of reaching across aisle  of working with Democrats  was privatizing an elevator in state house so the ...,obama=na,romney=-1
RT @davidaxelrod: Romney supported Blunt Amendment in Senate  handing employer right to deny contraceptive care under their insurance. B ...,obama=na,romney=-1
Hey Romney. I don't see how you can hate outside of the whitehouse! You can't even get in!,obama=na,romney=-1
"RT @MICHAELDOLLAR: Mormon women have reported ""horror stories"" about Romney from when he served as a Mormon bishop; life saving abortion ...",obama=na,romney=-1
RT @HuffPostPol: WATCH LIVE: Bruce Springsteen and Bill Clinton campaign for President Obam,obama=+1,romney=na
Yep RT @Myz_H: For real!?!? RT @SenorPrepotente: John Glen the republican just endorsed Obama?! Oh shit,obama=-1,romney=na
RT @Trogadorus: Changed my vote to Romney. #ObamaDebt killing future generations. #barackobama #debates #obama #romne,obama=-1,romney=+1
"RT @TeaPartyCat: Mitt Romney to CEOs: ""Tell your employees how you think they should vote. Employees yearn to have their lives dictated  ...",obama=na,romney=-1
"RT @JonahHill: I think I'm gonna be ""Slutty Mitt Romney"" for Halloween.",obama=na,romney=-1
Obama lied  Americans died: Libyan Attack was botched kidnapping to trade WTC bombing Blind Sheikh: I post..,obama=-1,romney=na
RT @Heminator: Forget Mitt Romney  I'd like to see Bruce Springsteen's tax returns before someone tries to shove his working class shtic ...,obama=na,romney=-1
Liberal Paper Endorses Romney: Time For Another Change - Mitt Romne,obama=na,romney=+1
Sorry Michelle Obama  but Molly is Americas First Lady,obama=-1,romney=+1
RT @adamlevine: Romney's America is one of the more terrifying prospects I could possibly imagine. I urge you all to take a closer look  ...,obama=na,romney=-1
RT @ValerieJoseph92: Massachusetts hates Romney  just mull that over...,obama=na,romney=-1
@QuentinHart Reasons why Romney should be president --&gt,obama=na,romney=+1
I have to say though  I am incredibly pleased with #Romney's performance overall. #debates #LynnDebate,obama=na,romney=+1
RT @rolandsmartin Romney talked about sanctions against Iran. Obama has already put them in place. This is utter nonsense!,obama=+1,romney=-1
RT @bj0252: @iamHeatherT  Mitt Romney is babbling like Ramona,obama=na,romney=-1
I'd rather move to North Korea than live in a country where Obama is president for another four years. #notkidding #actuallyiam #Romney2012,obama=-1,romney=na
@JerryAzumah Except #Obama is a #Joke just like the guy running against him #Hopeless #04again,obama=-1,romney=na
RT @Lukewearechange: obama &amp; romney are both jokes &amp; clowns pandering to idiots who will justify their vote for them cause they  ...,obama=-1,romney=-1
RT @macranger: Obama threw all ship builders in Virginia under the bus tonight along with Biden. #tcot #LynnDebate,obama=-1,romney=na
RT @Clayton_Ward15: Apparently  Mitt Romney uses his hands too much when he talks...... That's what their concerned about  lol,obama=na,romney=-1
RT @NancyWonderful: Mitt Romney's campaign $25 million in debt.This GUY can't manage his campaign? The rich don't trust or give directly ...,obama=na,romney=-1
CNN: Obama 48% Romney 40% / CBS: Obama 53% Romney 23%,obama=+1,romney=-1
@slackadjuster - my guess is your still in school  living at home  on food stamps  obama phone  and want more free stuff - maybe your 18?,obama=-1,romney=na
On stage with Barack and Michelle last night was probably the most black people the Romneys had ever been around.,obama=0,romney=-1
RT @NickCannon: I know a drug dealer with 2 strikes who said he would never vote for Romney. Fool  you can't vote any damn way! LOL #pas ...,obama=na,romney=+1
PLEASE DE-FRIEND ME.    If you plan to vote for Mitt Romney  you are putting a nail into my civil r,obama=na,romney=-1
"RT @cgpb: ""It is what it is &amp; cannot be denied. Obama lied to d American Public &amp; 4 Americans died. POTUS lied",obama=-1,romney=na
RT @simonhelberg: If your Twitter avatar is you holding a giant dead fish  you don't need to hashtag Romney  it's implied.,obama=na,romney=-1
RT @ToddKincannon: So Obama KNEW Libya was a terrorist attack but flew off to party in Vegas anyway?,obama=-1,romney=na
#news Obama  Romney Talk Peace But Poised for Wa,obama=-1,romney=-1
Why did I receive a bunch of election mail from Republicans when I'm a registered Democrat?,obama=+1,romney=-1
"@WalterDalton How about you quit saying ""they"" and ""we"" and start saying ""THE REPUBLICAN GENERAL ASSEMBLY"".",obama=na,romney=+1
@TulsiGabbard you can advertise you work across party lines because I'm your supporter  and I'm republican!  (AND Navy  too) #gonavybeatarmy,obama=na,romney=+1
"RT @GhettoEnglish: When Obama calls Romney "":Governor""   Translation = ""Lil N*gga""",obama=-1,romney=0
RT @TheTeaParty_net: RT if you agree with Clint: the next Obama term will be the same as his last! #tcot #tlot #teaparty,obama=-1,romney=na
Romney fundraiser planned Thursday in Hong Kon,obama=na,romney=+1
